omega_over_2pi_MHz,fixed_rc_nm,fixed_E0_MHz,fixed_E1_MHz,fixed_E2_MHz,fixed_N_negative,fixed_delta_E0_vs_1p2_kHz,fixed_delta_E1_vs_1p2_kHz,fixed_delta_E2_vs_1p2_kHz,recalibrated_rc_nm,recalibrated_rc_shift_vs_1p2_nm,recalibrated_E0_MHz,recalibrated_E1_MHz,recalibrated_E2_MHz,recalibrated_N_negative,recalibrated_delta_E1_vs_1p2_kHz,recalibrated_delta_E2_vs_1p2_kHz
1.1,25.876730807,-15.065268151448429,-9.349621927010533,-3.7725140102831722,3,-65.26818748478114,-137.84708202962827,-242.0943377247289,25.902273164148315,0.025542371183110646,-14.999999999999144,-9.298517287402158,-3.7360705444797278,3,-86.74241407472039,-205.65085150101004
1.2,25.876730807,-14.999999963963647,-9.211774844980905,-3.5304196725584434,3,0.0,0.0,0.0,25.876730792965205,0.0,-15.000000000003261,-9.211774873327437,-3.5304196929787177,3,0.0,0.0
1.3,25.876730807,-14.930062975579123,-9.064177323018411,-3.273751134980802,3,69.93698838452467,147.5975219624939,256.6685375776414,25.849630007754975,-0.02710078521023007,-15.000000000001897,-9.119449753675822,-3.3139716656196763,3,92.3251196516155,216.44802735904145
