mode,omega_over_2pi_MHz,rc_nm,rc_minus_reference_nm,n_negative,negative_count_grid_sequence,negative_count_stable,E0_continuum_MHz,p0,R2_0,fit_residual0_Hz,fit_stderr0_Hz,E1_continuum_MHz,p1,R2_1,fit_residual1_Hz,fit_stderr1_Hz,E2_continuum_MHz,p2,R2_2,fit_residual2_Hz,fit_stderr2_Hz,E0_target_offset_kHz
fixed_rc,1.1,25.876730807,0.0,3,3;3;3;3,True,-15.065268151448429,3.999146553124571,0.9999999999976513,3.8191672047105385e-07,2.2085723771715655e-07,-9.349621927010533,3.998471786547885,0.99999999993326,2.405187160547939e-05,1.3954042638467261e-05,-3.7725140102831722,3.9977736332572995,0.9999999998376219,0.0001219557788090242,7.074532814934231e-05,-65.26815144842857
fixed_rc,1.2,25.876730807,0.0,3,3;3;3;3,True,-14.999999963963647,3.99902679097962,0.9999999999825124,1.0675904604795505e-06,6.275930942980589e-07,-9.211774844980905,3.9984356354874455,0.9999999999444932,2.2858159809402423e-05,1.3263350727806195e-05,-3.5304196725584434,3.997740671577469,0.9999999998310775,0.00013174394908332943,7.643036079562716e-05,3.6036352568658e-05
fixed_rc,1.3,25.876730807,0.0,3,3;3;3;3,True,-14.930062975579123,3.999230814773259,0.9999999999741306,1.3731238368563936e-06,7.969365953163845e-07,-9.064177323018411,3.9984420109016394,0.9999999999081334,3.072386789426673e-05,1.7821771384913977e-05,-3.273751134980802,3.9977056573801533,0.9999999998184264,0.00014488898969489128,8.405226134402256e-05,69.93702442087724
recalibrated_rc,1.1,25.902273164148315,0.02554235714831421,3,3;3;3;3,True,-14.999999999999144,3.9991415480579735,0.9999999999728929,1.2896350654045818e-06,7.450462583419719e-07,-9.298517287402158,3.9984900193399127,0.999999999907804,2.8059332635166356e-05,1.6278443791119246e-05,-3.7360705444797278,3.9977797129794896,0.999999999834901,0.00012201928356603275,7.078404690741014e-05,8.562039965909207e-10
recalibrated_rc,1.2,25.876730792965205,-1.4034796436135366e-08,3,3;3;3;3,True,-15.000000000003261,3.999118236551404,0.9999999999997254,1.3322676295501878e-07,7.863257051045453e-08,-9.211774873327437,3.9984396524494534,0.9999999999379673,2.4167334800040408e-05,1.4021371119745466e-05,-3.5304196929787177,3.9977389653073647,0.9999999998338112,0.00013068124360415823,7.5809416828364e-05,-3.26139115713886e-09
recalibrated_rc,1.3,25.849630007754975,-0.027100799245026508,3,3;3;3;3,True,-15.000000000001897,3.9990773262950925,0.9999999999851557,1.049826892085548e-06,6.079689672958661e-07,-9.119449753675822,3.9984219148792026,0.9999999999268029,2.7631230636870896e-05,1.6027868108701312e-05,-3.3139716656196763,3.997699250341496,0.999999999822154,0.00014449907936864292,8.382298442282413e-05,-1.8971491044794675e-09
