N,dr_nm,E0_MHz,absE0_MHz,delta_vs_fine_grid_fit_kHz,n_negative,eig_residual_rel,virial_rel
6000,0.10833472245374229,-14.936173830177683,14.936173830177683,34.606894218274675,3,3.2684617005254075e-13,-0.004321429025188082
7500,0.08666488865182025,-14.943118690392822,14.943118690392822,27.662034003135716,3,4.996267878764003e-13,-0.0038448067152874075
9000,0.07221913545949549,-14.947739039951143,14.947739039951143,23.041684444814692,3,9.50741353249624e-13,-0.0035285781030001974
10500,0.06190113344128013,-14.95103461381929,14.95103461381929,19.74611057666742,3,1.0803239131059884e-12,-0.0033034427645339433
12000,0.05416284690390866,-14.95350373913588,14.95350373913588,17.276985260078703,3,1.2519736367701582e-12,-0.0031349963824798635
14000,0.04642474462461604,-14.95597067580417,14.95597067580417,14.81004859178725,3,1.9171564360945457e-12,-0.002966896715301055
16000,0.04062128883055191,-14.957819442715156,14.957819442715156,12.961281680802017,3,2.5030832347117694e-12,-0.002841049199843526
