N_basis,N_negative,E0_MHz,Delta0_vs_FDM_kHz,E1_MHz,Delta1_vs_FDM_kHz,E2_MHz,Delta2_vs_FDM_kHz,max_abs_delta_first3_kHz
10,3,-14.999887864518382,0.11210069661871103,-9.210349312078083,1.4255342429159157,-3.517809062561151,12.610612460848714,12.610612460848714
20,3,-14.999999813994448,0.00015122055252447808,-9.21177341594221,0.001430378789635256,-3.5303943491874907,0.025325834509093426,0.025325834509093426
40,3,-14.99999996396896,1.2460397158520209e-06,-9.211774844801825,1.5191741198350428e-06,-3.5304196716226532,3.399346582000362e-06,3.399346582000362e-06
80,3,-14.999999963970955,1.2440448671213744e-06,-9.2117748450611,1.2598988519130216e-06,-3.5304196729144883,2.107511498650183e-06,2.107511498650183e-06
120,3,-14.999999963970955,1.2440448671213744e-06,-9.211774845061168,1.2598313503531244e-06,-3.5304196729145905,2.1074093581319175e-06,2.1074093581319175e-06
