n,E_FDM_MHz,E_HOdiag_MHz,Delta_HOdiag_FDM_kHz,Rel_error_percent,E_PT2_MHz,Delta_PT2_FDM_kHz,PT_error_over_HOdiag_error
0,-14.999999965215,-14.999999963970955,1.2440448671213744e-06,8.293632466708763e-09,-17.894585377628,-2894.585412413001,2326753229.657104
1,-9.211774846321,-9.211774845061168,1.2598313503531244e-06,1.3676315057312503e-08,-9.801359421872,-589.584575551001,467986905.8550919
2,-3.530419675022,-3.5304196729145905,2.1074093581319175e-06,5.969288504259158e-08,-2.39443149981,1135.9881752119998,539044856.5811533
