n,E_FDM_continuum_MHz,E_Numerov_MHz,delta_Numerov_minus_FDM_Hz,nodes,match_r_nm,mismatch_m_inverse
0,-14.999999965215,-14.999999990955242,-0.02574024193791047,0,19.58206591941331,1.84476375579834e-05
1,-9.211774846321,-9.21177487705605,-0.030735050060570757,1,26.73236384849369,-4.711747169494629e-05
2,-3.530419675022,-3.5304196970678596,-0.02204585980436491,2,33.53056377349056,1.6391277313232422e-05
