ell,ell_exact_factor,N_negative,Vmin_over_h_MHz,E0_over_h_MHz,E1_over_h_MHz,E2_over_h_MHz,absE0_over_h_MHz,absE1_over_h_MHz,absE2_over_h_MHz
0,0.0,3,-18.344340527725226,-14.953503739135929,-9.127455271740414,-3.43432453554371,14.953503739135929,9.127455271740414,3.43432453554371
1,2.0,3,-15.49583312869233,-12.342777449302494,-6.348442108949388,-0.9915549135413618,12.342777449302494,6.348442108949388,0.9915549135413618
2,6.0,2,-12.751905877173831,-9.508484036486772,-3.5847966717188977,,9.508484036486772,3.5847966717188977,
