crossing_id,level,nminus_left,nminus_right,continuum_crossing_nm,slope_nm_per_nm4,R2,max_abs_fit_residual_nm,benchmark_rc_nm,benchmark_inside_three_state_sector
E4_zero,4,5,4,21.43469786175592,0.0053670622634489585,0.9999998283698094,2.4877174098492105e-08,25.876730807,True
E3_zero,3,4,3,24.73727443248231,0.0018747808842516697,0.9999999434746454,4.987363411146362e-09,25.876730807,True
E2_zero,2,3,2,29.163948043763344,0.0005316883115025423,0.9999999838260909,7.556515413398301e-10,25.876730807,True
