N,delta_r_nm,E0_MHz,E1_MHz,E2_MHz
1800,0.3613118399110617,-15.000000375417246,-9.211779725677731,-3.530435794490245
2556,0.25440313111545987,-15.000000065128232,-9.211776045265877,-3.530423638331058
3630,0.17911270322402867,-14.999999988830954,-9.211775140034204,-3.5304206475998394
5155,0.12611563833915407,-14.999999970076715,-9.21177491756407,-3.5304199125284863
