ell,ell_factor,N_negative,Vmin_MHz,E0_MHz,E1_MHz,E2_MHz
0,0,3,-18.34432212848762,-14.999999970076713,-9.211774917564071,-3.5304199125284867
1,2,3,-15.495758150710605,-12.342808214140861,-6.348526091097483,-0.9916774696948778
2,6,2,-12.751825244264444,-9.50848405942179,-3.5847967759536914,nan
