n,N_basis_sum,E0_MHz,E1_MHz,E2_MHz,EPT_MHz,EFDM_continuum_MHz,delta_PT_minus_FDM_kHz,r10,r21,eta_max,dominant_basis_index,verdict
0,80,1.7999999999999998,-15.216254394677268,-4.478330993914686,-17.894585388591953,-14.999999965215,-2894.5854233769523,8.453474663709594,0.2943123108852092,1.360350741501535,1,breakdown
1,80,4.2,-10.370959131317122,-3.6304002965598876,-9.801359427877008,-9.211774846321,-589.584581556009,2.469275983646934,0.350054440538406,1.7978190174598114,2,breakdown
2,80,6.6,-8.108600965311425,-0.8858305359655758,-2.394431501277,-3.530419675022,1135.988173745,1.2285759038350643,0.10924579218476242,1.827276152652877,3,breakdown
