regulator,rc_cal_nm,n,E_MHz,absE_MHz,nodes,r_mean_nm,r_rms_nm,r_peak_nm,P_r_lt_rc,F_vs_V1,eig_residual_rel
V1,25.8767305348,0,-15.0000006631,15.0000006631,0,10.5697130298,11.4144603015,9.64247020585,0.999007397774,1,1.6556153412e-12
V1,25.8767305348,1,-9.21177539731,9.21177539731,1,14.9215901772,16.5850313419,18.3098591549,0.964171683837,1,3.4367967418e-11
V1,25.8767305348,2,-3.5304200772,3.5304200772,2,19.82062679,21.924606711,25.0270855905,0.682855720944,1,2.40818824462e-10
V2,24.4083725886,0,-15,15,0,7.78906670282,8.50947834244,6.6630552546,0.999870384243,0.87806434575,1.70359134371e-12
V2,24.4083725886,1,-6.66000350272,6.66000350272,1,13.9260260134,15.2461064385,15.3846153846,0.972554402002,0.79044630615,8.13652096175e-11
V2,24.4083725886,2,-0.870345352677,0.870345352677,2,20.8175974284,22.6033331014,23.9978331528,0.590404643062,0.882544470711,5.69700738708e-10
V3,26.0551286746,0,-15.0000000471,15.0000000471,0,11.4860170854,12.3953431127,10.5092091008,0.997444193999,0.988847204853,1.3222421804e-12
V3,26.0551286746,1,-10.0089837359,10.0089837359,1,15.7050396075,17.4840979076,19.6099674973,0.942124362519,0.968540560546,3.60581063886e-12
V3,26.0551286746,2,-4.67536338179,4.67536338179,2,19.8014293694,22.0362694135,25.9479956663,0.658805533934,0.967632402396,1.64301610746e-11
